AIInvestmentKey,AI_Investment_Level_USD,AI_Productivity_Gain_Pct,AI_Return_on_Investment_ROI_Score,Primary_Investment_Area,Investment_DateKey,Funding_Source,Project_Name,Project_Status,Team_Size,Risk_Level,Expected_Payback_Period_Months
250,16352002,0.1,1.25,Automation,667,Corporate,AI Project 250,On-Hold,25,Medium,21
251,17422561,0.39,1.11,Platform,1678,Corporate,AI Project 251,Completed,31,High,31
252,948006,0.17,1.73,Analytics,1760,Corporate,AI Project 252,On-Hold,16,High,23
253,36345348,0.33,2.1,Analytics,337,Grant,AI Project 253,On-Hold,17,High,32
254,37353586,0.13,1.23,Automation,916,VC,AI Project 254,Completed,50,Low,6
255,7876511,0.38,2.9,Automation,1477,Corporate,AI Project 255,Completed,55,Medium,35
256,37508138,0.06,1.28,Platform,1679,Corporate,AI Project 256,Planned,54,Medium,35
257,26224759,0.26,0.7,Platform,703,VC,AI Project 257,Planned,6,Low,27
258,6201037,0.06,0.82,Platform,244,VC,AI Project 258,Completed,31,Medium,19
259,7046815,0.15,2.27,Generative AI,2164,Internal,AI Project 259,In-Progress,77,Medium,8
260,26733591,0.31,1.52,Platform,1342,Internal,AI Project 260,Planned,99,Medium,10
261,49115709,0.39,1.15,Platform,215,Grant,AI Project 261,On-Hold,55,Low,15
262,17840799,0.14,2.87,Analytics,2036,Internal,AI Project 262,Planned,25,Medium,10
263,47589436,0.27,1.17,Platform,636,VC,AI Project 263,Completed,64,Low,31
264,24916280,0.2,2.6,Generative AI,1111,VC,AI Project 264,On-Hold,18,Low,13
265,18487251,0.21,1.75,Platform,1267,Grant,AI Project 265,Planned,68,Medium,27
266,3611225,0.3,1.67,Generative AI,758,Corporate,AI Project 266,Planned,22,Low,8
267,2123771,0.25,1.83,Generative AI,774,Internal,AI Project 267,On-Hold,75,Low,15
268,26933417,0.1,0.87,Platform,579,VC,AI Project 268,Planned,53,High,18
269,23423097,0.31,3.0,Automation,276,VC,AI Project 269,Planned,57,Medium,12
270,6370687,0.23,1.39,Generative AI,973,Grant,AI Project 270,On-Hold,90,Medium,22
271,300072,0.17,2.15,Generative AI,337,Grant,AI Project 271,Planned,15,Low,7
272,41398583,0.1,2.44,Platform,581,Grant,AI Project 272,On-Hold,84,High,26
273,24292721,0.39,0.62,Automation,1312,Grant,AI Project 273,Completed,76,Medium,25
274,7568192,0.21,2.91,Analytics,286,Corporate,AI Project 274,On-Hold,29,Medium,15
275,29430519,0.22,1.41,Automation,1968,VC,AI Project 275,Planned,18,High,11
276,31579554,0.16,2.91,Automation,1759,Grant,AI Project 276,On-Hold,44,Low,31
277,40088795,0.35,0.97,Automation,828,Grant,AI Project 277,In-Progress,56,High,21
278,15600186,0.13,2.76,Analytics,1010,Grant,AI Project 278,Planned,34,Low,10
279,35865762,0.3,1.87,Analytics,73,Internal,AI Project 279,On-Hold,91,Medium,15
280,18692498,0.12,2.56,Platform,1221,Grant,AI Project 280,In-Progress,58,Medium,33
281,43799991,0.08,1.8,Platform,1016,VC,AI Project 281,Completed,12,High,32
282,25354010,0.27,2.07,Analytics,588,VC,AI Project 282,In-Progress,23,Low,20
283,17405874,0.06,2.28,Generative AI,1204,Grant,AI Project 283,In-Progress,71,High,7
284,34339574,0.23,2.57,Platform,507,Corporate,AI Project 284,On-Hold,76,Medium,8
285,5125953,0.38,1.48,Platform,965,Internal,AI Project 285,Planned,44,Medium,9
286,30722077,0.11,0.61,Analytics,450,Corporate,AI Project 286,On-Hold,24,Low,23
287,324769,0.11,0.67,Analytics,652,VC,AI Project 287,On-Hold,42,Medium,21
288,39166527,0.39,2.83,Automation,2009,VC,AI Project 288,On-Hold,11,Medium,12
289,48547550,0.2,2.13,Generative AI,501,Corporate,AI Project 289,On-Hold,42,Low,25
290,13938569,0.15,1.17,Analytics,1304,Corporate,AI Project 290,Completed,42,Low,26
291,40044142,0.06,2.57,Platform,1386,Grant,AI Project 291,Planned,75,Low,10
292,29283067,0.36,1.09,Automation,842,Internal,AI Project 292,On-Hold,28,High,7
293,8053712,0.24,2.95,Platform,349,Internal,AI Project 293,In-Progress,93,Medium,11
294,31264437,0.33,0.52,Analytics,512,Corporate,AI Project 294,Completed,84,High,8
295,27277973,0.1,1.85,Platform,236,Internal,AI Project 295,Planned,24,Low,8
296,33858593,0.34,2.22,Generative AI,48,Corporate,AI Project 296,Planned,67,Medium,27
297,27629460,0.2,1.86,Platform,941,Grant,AI Project 297,On-Hold,67,Low,6
298,3793908,0.31,1.73,Generative AI,1913,VC,AI Project 298,In-Progress,62,Medium,6
299,47968323,0.37,2.72,Generative AI,847,Internal,AI Project 299,Planned,64,Low,12
300,20408657,0.17,2.67,Automation,1136,VC,AI Project 300,In-Progress,74,High,11
301,302064,0.09,2.26,Platform,309,Corporate,AI Project 301,In-Progress,81,Medium,16
302,40946923,0.1,1.2,Platform,325,Grant,AI Project 302,Planned,49,Medium,10
303,22389395,0.22,1.16,Automation,1037,VC,AI Project 303,In-Progress,19,Medium,10
304,6775568,0.17,1.63,Analytics,1876,Corporate,AI Project 304,Planned,16,Medium,17
305,44060235,0.23,1.09,Generative AI,482,Grant,AI Project 305,Planned,28,Low,20
306,35223435,0.19,1.57,Generative AI,1140,Corporate,AI Project 306,Completed,52,High,29
307,5668733,0.13,1.31,Generative AI,914,VC,AI Project 307,Completed,38,High,21
308,47091410,0.07,2.22,Generative AI,1118,Internal,AI Project 308,Planned,35,High,29
309,28356479,0.1,1.7,Generative AI,619,Grant,AI Project 309,On-Hold,30,High,7
310,21531209,0.39,2.14,Automation,440,VC,AI Project 310,Planned,9,Low,27
311,38972291,0.4,1.07,Automation,1215,VC,AI Project 311,Completed,91,Low,22
312,16179994,0.17,1.86,Generative AI,256,VC,AI Project 312,In-Progress,6,High,16
313,48319055,0.26,2.54,Automation,1596,VC,AI Project 313,Planned,44,Medium,30
314,40503832,0.05,0.78,Automation,1246,VC,AI Project 314,In-Progress,13,High,27
315,34388208,0.28,1.14,Platform,2094,Grant,AI Project 315,Planned,49,Medium,35
316,43011429,0.19,0.61,Platform,996,Corporate,AI Project 316,Planned,16,High,29
317,49014975,0.14,2.21,Analytics,501,VC,AI Project 317,In-Progress,92,Low,14
318,19730717,0.17,0.87,Analytics,2076,Internal,AI Project 318,Planned,92,High,28
319,32098642,0.09,2.61,Automation,627,Corporate,AI Project 319,Completed,5,Low,24
320,18402811,0.24,1.74,Automation,1268,Internal,AI Project 320,Completed,44,Low,34
321,21103377,0.31,0.93,Generative AI,2089,Corporate,AI Project 321,In-Progress,73,Medium,21
322,10502937,0.12,1.1,Automation,660,Grant,AI Project 322,Planned,37,Medium,9
323,43349480,0.28,1.52,Automation,561,VC,AI Project 323,Completed,35,Low,10
324,40477946,0.16,1.14,Platform,32,Grant,AI Project 324,In-Progress,40,Low,16
325,36716047,0.17,1.65,Generative AI,1160,VC,AI Project 325,Planned,79,Low,12
326,17150564,0.18,2.0,Analytics,757,Corporate,AI Project 326,Completed,36,Low,32
327,41406940,0.28,1.88,Platform,682,VC,AI Project 327,On-Hold,55,Medium,18
328,25372794,0.37,1.43,Generative AI,1006,Internal,AI Project 328,In-Progress,38,Low,24
329,14453960,0.08,1.54,Automation,1368,VC,AI Project 329,Planned,13,Low,23
330,40706865,0.37,0.62,Analytics,1834,VC,AI Project 330,Planned,66,Low,22
331,44029582,0.27,0.63,Automation,955,VC,AI Project 331,In-Progress,74,Medium,25
332,24830238,0.09,1.7,Platform,1664,Corporate,AI Project 332,On-Hold,68,Medium,22
333,34251416,0.28,0.89,Platform,429,Grant,AI Project 333,Completed,89,Low,21
334,48811771,0.35,2.38,Generative AI,1562,Internal,AI Project 334,On-Hold,72,Low,23
335,30509284,0.32,0.72,Automation,1708,Grant,AI Project 335,In-Progress,47,High,12
336,25118326,0.11,0.59,Analytics,1013,Corporate,AI Project 336,In-Progress,73,Low,18
337,19766297,0.3,0.72,Analytics,2092,Grant,AI Project 337,Completed,30,Medium,35
338,18040010,0.38,1.23,Automation,996,VC,AI Project 338,Planned,30,Medium,13
339,33541860,0.29,2.19,Analytics,809,Corporate,AI Project 339,On-Hold,95,Medium,13
340,21762710,0.23,0.63,Platform,1790,Grant,AI Project 340,Planned,59,High,17
341,48777476,0.16,2.23,Analytics,89,Corporate,AI Project 341,On-Hold,7,Medium,17
342,19084398,0.31,1.92,Generative AI,204,VC,AI Project 342,On-Hold,51,Low,16
343,8786915,0.1,2.7,Platform,331,Grant,AI Project 343,In-Progress,41,Medium,15
344,1400778,0.36,2.98,Platform,834,Internal,AI Project 344,In-Progress,35,Low,12
345,9013698,0.27,1.9,Analytics,805,Grant,AI Project 345,On-Hold,41,Medium,24
346,15401836,0.08,1.53,Generative AI,2058,Internal,AI Project 346,Completed,17,Low,21
347,39710358,0.06,1.84,Analytics,589,VC,AI Project 347,In-Progress,43,High,9
348,12027053,0.37,2.75,Generative AI,358,Corporate,AI Project 348,Completed,46,Medium,20
349,3485121,0.4,2.78,Platform,1352,VC,AI Project 349,In-Progress,19,Low,9
350,10079405,0.06,1.04,Generative AI,584,Grant,AI Project 350,Completed,61,Low,35
351,13281561,0.1,2.97,Automation,1905,Grant,AI Project 351,Completed,47,High,14
352,34019782,0.25,1.76,Generative AI,435,Corporate,AI Project 352,Completed,57,Low,21
353,20899180,0.34,1.88,Platform,198,Corporate,AI Project 353,Planned,77,Low,35
354,25242815,0.36,0.66,Automation,501,Internal,AI Project 354,On-Hold,96,Medium,16
355,43420765,0.06,1.34,Platform,1926,VC,AI Project 355,Completed,90,High,10
356,8541559,0.19,1.22,Generative AI,1751,Internal,AI Project 356,Planned,84,Low,11
357,41493853,0.08,0.93,Platform,531,VC,AI Project 357,On-Hold,24,High,33
358,4608586,0.19,1.42,Generative AI,411,Internal,AI Project 358,In-Progress,65,Low,8
359,45151076,0.28,1.27,Platform,1737,Internal,AI Project 359,Planned,77,High,20
360,7486537,0.27,2.24,Automation,1679,VC,AI Project 360,Planned,56,Low,16
361,14574929,0.24,1.95,Generative AI,226,Internal,AI Project 361,In-Progress,70,Medium,16
362,32821882,0.38,2.57,Automation,230,Grant,AI Project 362,Planned,32,High,20
363,16879717,0.25,0.94,Analytics,14,Grant,AI Project 363,In-Progress,94,Low,24
364,21146175,0.37,1.65,Generative AI,460,Internal,AI Project 364,Completed,92,Medium,17
365,13226303,0.06,1.01,Automation,2176,Internal,AI Project 365,In-Progress,5,Medium,6
366,25764284,0.39,2.63,Generative AI,88,Internal,AI Project 366,On-Hold,76,Medium,27
367,37006088,0.14,1.99,Platform,1322,VC,AI Project 367,Completed,24,Medium,32
368,21600028,0.12,0.51,Generative AI,680,Internal,AI Project 368,Planned,42,Low,13
369,6201036,0.38,0.85,Automation,1195,Corporate,AI Project 369,Planned,38,Medium,17
370,17214834,0.18,2.66,Generative AI,52,Grant,AI Project 370,On-Hold,47,Low,22
371,18739056,0.13,1.77,Platform,1011,Corporate,AI Project 371,In-Progress,96,Medium,34
372,9152843,0.28,1.94,Generative AI,2021,Corporate,AI Project 372,In-Progress,60,High,25
373,1457585,0.26,0.64,Analytics,1916,VC,AI Project 373,On-Hold,65,Low,26
374,33934371,0.32,1.31,Platform,975,Internal,AI Project 374,On-Hold,85,Medium,27
375,15200828,0.05,2.45,Automation,659,VC,AI Project 375,Planned,41,High,21
376,42655459,0.33,1.19,Automation,1288,Grant,AI Project 376,Completed,47,Low,9
377,28942826,0.24,2.15,Generative AI,155,Grant,AI Project 377,Completed,30,Medium,9
378,33723271,0.25,1.89,Platform,75,Internal,AI Project 378,Planned,49,High,8
379,24565975,0.39,2.48,Generative AI,1601,Internal,AI Project 379,On-Hold,29,High,12
380,40307065,0.13,1.89,Automation,2175,Internal,AI Project 380,Planned,67,Low,33
381,643086,0.14,2.15,Analytics,2105,Grant,AI Project 381,In-Progress,88,Low,9
382,28890542,0.15,1.84,Analytics,1165,Internal,AI Project 382,In-Progress,17,Medium,35
383,35303594,0.3,2.79,Platform,219,Grant,AI Project 383,On-Hold,17,Medium,14
384,47794669,0.35,2.48,Automation,497,Grant,AI Project 384,On-Hold,14,Low,30
385,38423595,0.17,1.82,Analytics,991,Corporate,AI Project 385,In-Progress,52,Medium,32
386,11363428,0.06,0.55,Platform,1156,VC,AI Project 386,Completed,93,Low,19
387,9972566,0.19,1.16,Generative AI,1451,Corporate,AI Project 387,On-Hold,16,Medium,20
388,39869512,0.1,2.27,Analytics,955,Corporate,AI Project 388,On-Hold,71,High,20
389,6638586,0.1,2.71,Automation,250,VC,AI Project 389,Planned,50,Low,13
390,34872380,0.36,1.92,Platform,2071,VC,AI Project 390,Planned,54,Low,17
391,38757971,0.19,2.36,Automation,290,Grant,AI Project 391,Completed,54,High,24
392,20458986,0.06,0.96,Platform,499,Grant,AI Project 392,Planned,17,Medium,32
393,31543762,0.36,0.62,Analytics,899,Grant,AI Project 393,In-Progress,58,Medium,34
394,46774243,0.3,1.98,Analytics,1840,Internal,AI Project 394,Completed,68,High,35
395,18482308,0.17,0.68,Platform,277,Corporate,AI Project 395,On-Hold,28,Medium,24
396,27092636,0.26,0.63,Analytics,706,Grant,AI Project 396,In-Progress,27,Medium,30
397,14500313,0.11,2.52,Automation,58,VC,AI Project 397,Planned,90,High,11
398,11645795,0.12,2.07,Platform,1704,Corporate,AI Project 398,Completed,28,High,35
399,8917151,0.28,1.06,Automation,1544,Internal,AI Project 399,On-Hold,40,High,21
400,43201103,0.22,2.04,Generative AI,1563,Grant,AI Project 400,Completed,66,High,23
401,28376351,0.25,1.69,Generative AI,737,Grant,AI Project 401,Planned,60,Medium,28
402,25096703,0.36,1.19,Analytics,803,Internal,AI Project 402,Completed,36,Medium,25
403,39305111,0.17,2.79,Platform,651,Corporate,AI Project 403,Planned,16,High,13
404,1986284,0.13,1.1,Automation,909,Corporate,AI Project 404,Planned,45,Low,30
405,39182205,0.17,2.09,Automation,1483,Internal,AI Project 405,Planned,52,Low,34
406,48194453,0.21,1.35,Automation,230,VC,AI Project 406,Planned,62,Medium,8
407,47755684,0.13,2.44,Platform,427,Corporate,AI Project 407,Completed,44,Medium,8
408,2952143,0.39,1.91,Generative AI,205,Internal,AI Project 408,In-Progress,87,Medium,32
409,17661275,0.18,2.87,Analytics,723,Grant,AI Project 409,Completed,13,Medium,6
410,38262880,0.25,1.49,Automation,329,Grant,AI Project 410,Planned,65,Low,24
411,37986731,0.25,2.93,Automation,509,Grant,AI Project 411,On-Hold,51,Low,30
412,12818688,0.33,1.79,Automation,505,Corporate,AI Project 412,Completed,44,Medium,26
413,26140471,0.12,0.78,Automation,1856,Internal,AI Project 413,Planned,10,Low,18
414,21188221,0.06,1.48,Generative AI,24,Internal,AI Project 414,In-Progress,34,High,9
415,4703947,0.24,1.72,Platform,1774,Grant,AI Project 415,On-Hold,16,High,13
416,6122337,0.17,1.86,Analytics,1153,VC,AI Project 416,Planned,38,Low,10
417,25687138,0.3,0.82,Platform,1920,Internal,AI Project 417,Planned,71,Low,13
418,43409415,0.33,1.38,Generative AI,1235,VC,AI Project 418,In-Progress,81,Medium,9
419,6869548,0.16,0.66,Generative AI,818,VC,AI Project 419,On-Hold,75,Medium,11
420,2480549,0.12,2.14,Analytics,782,VC,AI Project 420,In-Progress,29,High,20
421,41128172,0.14,1.47,Analytics,1939,Grant,AI Project 421,Planned,39,High,26
422,606250,0.06,1.44,Automation,1648,Internal,AI Project 422,In-Progress,43,High,19
423,12121009,0.16,2.61,Automation,1864,Internal,AI Project 423,On-Hold,75,High,30
424,3261666,0.33,1.78,Analytics,962,Corporate,AI Project 424,On-Hold,40,Medium,14
425,26949879,0.07,0.73,Generative AI,329,Grant,AI Project 425,Completed,68,Low,26
426,47547940,0.27,2.89,Analytics,669,Corporate,AI Project 426,Planned,47,Medium,34
427,47072353,0.25,2.18,Generative AI,65,Grant,AI Project 427,Completed,98,Medium,28
428,27285493,0.25,2.09,Generative AI,1311,Corporate,AI Project 428,In-Progress,26,High,6
429,6445562,0.14,1.84,Generative AI,489,VC,AI Project 429,Planned,56,Low,15
430,1041283,0.31,2.31,Platform,338,VC,AI Project 430,Completed,16,High,7
431,41721412,0.31,0.81,Analytics,2023,Internal,AI Project 431,On-Hold,60,Low,26
432,4104871,0.07,1.24,Generative AI,455,Internal,AI Project 432,Completed,12,Low,8
433,17271971,0.16,2.18,Analytics,1279,VC,AI Project 433,In-Progress,7,High,19
434,26758368,0.3,2.63,Automation,1386,VC,AI Project 434,In-Progress,88,Low,31
435,32278566,0.27,1.37,Automation,1593,VC,AI Project 435,On-Hold,52,Medium,19
436,42267044,0.23,1.21,Platform,531,Corporate,AI Project 436,On-Hold,20,High,12
437,33460172,0.29,1.72,Automation,10,Corporate,AI Project 437,In-Progress,63,High,24
438,5193646,0.09,0.81,Generative AI,1507,Internal,AI Project 438,In-Progress,95,High,10
439,44185212,0.36,1.68,Generative AI,181,Corporate,AI Project 439,Planned,91,High,8
440,9978457,0.33,2.01,Analytics,1530,Internal,AI Project 440,Completed,83,High,24
441,29345645,0.21,1.17,Analytics,1740,Grant,AI Project 441,On-Hold,69,Medium,17
442,9556586,0.2,2.63,Analytics,843,Internal,AI Project 442,Planned,49,Medium,22
443,20162062,0.33,0.86,Automation,1434,Grant,AI Project 443,In-Progress,27,Medium,17
444,48520900,0.13,2.58,Automation,542,Corporate,AI Project 444,Completed,51,High,27
445,45175630,0.08,2.77,Generative AI,1368,Internal,AI Project 445,Completed,55,Medium,33
446,35716643,0.39,2.46,Platform,976,VC,AI Project 446,Planned,88,High,33
447,10657339,0.35,1.48,Platform,1336,Grant,AI Project 447,Planned,64,High,20
448,42464942,0.27,1.56,Analytics,1411,Grant,AI Project 448,Planned,22,Medium,11
449,32748135,0.29,1.51,Analytics,1483,VC,AI Project 449,On-Hold,34,Medium,27
450,38930528,0.1,2.13,Automation,70,Grant,AI Project 450,Completed,22,High,19
451,10392347,0.1,1.64,Analytics,1415,Grant,AI Project 451,Planned,27,Medium,9
452,747529,0.22,1.51,Generative AI,2004,Internal,AI Project 452,On-Hold,61,Medium,19
453,33340616,0.21,2.89,Generative AI,912,Internal,AI Project 453,On-Hold,78,Medium,24
454,38023038,0.26,1.78,Automation,1785,Corporate,AI Project 454,Completed,97,High,29
455,8188788,0.05,1.89,Automation,1440,VC,AI Project 455,On-Hold,84,High,24
456,41810751,0.37,2.05,Generative AI,473,Internal,AI Project 456,Completed,56,High,9
457,22019319,0.32,0.63,Platform,418,VC,AI Project 457,Planned,63,Low,10
458,22873667,0.27,1.48,Generative AI,437,VC,AI Project 458,On-Hold,93,High,18
459,28332805,0.13,2.71,Platform,2052,Grant,AI Project 459,On-Hold,93,Medium,17
460,19146560,0.34,1.9,Analytics,23,Grant,AI Project 460,In-Progress,60,Low,22
461,45167245,0.18,1.56,Automation,591,Corporate,AI Project 461,Completed,5,Medium,24
462,21506507,0.09,2.88,Analytics,679,Corporate,AI Project 462,Planned,98,Medium,14
463,22689002,0.32,1.35,Generative AI,446,VC,AI Project 463,Planned,38,High,13
464,33987876,0.1,0.84,Analytics,961,Corporate,AI Project 464,On-Hold,34,Medium,24
465,42173076,0.08,2.88,Platform,1211,VC,AI Project 465,Planned,51,Low,15
466,43265760,0.12,0.86,Automation,1983,Corporate,AI Project 466,Planned,86,Medium,6
467,12447346,0.18,1.38,Generative AI,1280,Internal,AI Project 467,Completed,56,High,29
468,45512253,0.39,0.95,Platform,1356,Grant,AI Project 468,On-Hold,73,Medium,22
469,49705709,0.17,2.77,Platform,1990,Internal,AI Project 469,In-Progress,21,Low,12
470,29247423,0.39,2.07,Analytics,1678,VC,AI Project 470,On-Hold,80,Low,15
471,3329722,0.15,1.31,Platform,1516,Internal,AI Project 471,On-Hold,57,High,12
472,11351415,0.34,2.63,Generative AI,1900,Grant,AI Project 472,In-Progress,90,Low,22
473,28313305,0.11,1.11,Generative AI,850,Grant,AI Project 473,Completed,7,Low,20
474,33878229,0.07,1.54,Analytics,1684,Corporate,AI Project 474,Completed,38,Low,21
475,36558785,0.27,0.97,Automation,893,VC,AI Project 475,On-Hold,57,High,28
476,698178,0.25,0.99,Platform,1865,Grant,AI Project 476,In-Progress,40,Low,22
477,47948168,0.1,1.68,Generative AI,907,Internal,AI Project 477,In-Progress,30,High,23
478,9236881,0.28,1.62,Analytics,309,Grant,AI Project 478,Completed,94,Low,32
479,27957732,0.35,1.16,Analytics,504,Grant,AI Project 479,On-Hold,29,High,18
480,35818748,0.14,2.62,Platform,330,Grant,AI Project 480,In-Progress,18,Low,26
481,5625071,0.28,1.27,Generative AI,1947,Grant,AI Project 481,In-Progress,50,Low,15
482,13162540,0.33,1.01,Analytics,1785,Corporate,AI Project 482,Completed,27,High,35
483,44689886,0.22,0.56,Automation,426,Corporate,AI Project 483,On-Hold,80,High,13
484,44994423,0.24,0.59,Automation,452,Corporate,AI Project 484,In-Progress,57,Low,14
485,45296211,0.33,2.69,Automation,690,Corporate,AI Project 485,In-Progress,28,Medium,34
486,29425807,0.12,2.39,Platform,1259,Grant,AI Project 486,Completed,32,High,10
487,38618339,0.06,2.59,Generative AI,1761,VC,AI Project 487,In-Progress,13,High,9
488,38963026,0.06,2.68,Platform,1646,VC,AI Project 488,In-Progress,63,High,20
489,27362771,0.07,1.54,Generative AI,1902,VC,AI Project 489,In-Progress,15,Medium,33
490,28692879,0.07,0.93,Platform,224,Corporate,AI Project 490,On-Hold,78,Medium,26
491,4984889,0.13,2.83,Automation,1764,Internal,AI Project 491,On-Hold,81,Low,30
492,35491773,0.16,2.46,Generative AI,1901,Corporate,AI Project 492,Planned,76,High,16
493,36041635,0.3,2.26,Generative AI,1805,VC,AI Project 493,Planned,54,Medium,10
494,7784602,0.39,1.46,Platform,1097,Grant,AI Project 494,In-Progress,16,Low,21
495,40538915,0.38,1.59,Generative AI,1581,Internal,AI Project 495,Completed,19,Low,34
496,37772055,0.09,1.55,Generative AI,1663,Corporate,AI Project 496,On-Hold,99,Low,35
497,34591378,0.33,1.85,Automation,775,Internal,AI Project 497,Completed,30,Low,18
498,42862992,0.31,0.71,Analytics,1623,VC,AI Project 498,On-Hold,26,Low,29
499,20821426,0.33,0.53,Generative AI,1139,Internal,AI Project 499,Completed,34,High,29
500,31643735,0.29,2.67,Analytics,190,VC,AI Project 500,On-Hold,56,High,9
