SkillsetKey,Top_Required_Skill_1,Top_Required_Skill_2,Top_Required_Skill_3,Top_Emerging_Skill_1,Top_Emerging_Skill_2,Top_Emerging_Skill_3,Top_Obsolete_Skill_1,Top_Obsolete_Skill_2,Top_Obsolete_Skill_3,Skill_Gap_Index,AI_Skill_Requirement_Level
251,Salesforce,Tableau,Excel,Python,Project Management,Adobe Photoshop,Java,TensorFlow,TensorFlow,8.8,Very High
252,Tableau,C++,Python,Azure,Power BI,R,R,TensorFlow,Salesforce,9.1,High
253,Project Management,Azure,SQL,C++,Project Management,Project Management,TensorFlow,AWS,PyTorch,6.4,Low
254,Project Management,Tableau,Communication,Salesforce,Project Management,Java,C++,AWS,Python,5.0,Very High
255,GCP,Tableau,Project Management,Marketing,GCP,Marketing,Tableau,Tableau,Python,6.9,High
256,Marketing,TensorFlow,AWS,Adobe Photoshop,Java,C++,Power BI,Marketing,TensorFlow,3.9,Medium
257,PyTorch,GCP,TensorFlow,AWS,Azure,Marketing,Tableau,SQL,Adobe Photoshop,4.8,High
258,Communication,Java,C++,Power BI,SQL,Marketing,Python,Salesforce,Project Management,4.8,Very High
259,Communication,Python,Communication,Azure,Project Management,AWS,Marketing,Java,Tableau,7.8,High
260,Excel,TensorFlow,Marketing,GCP,PyTorch,R,PyTorch,Salesforce,Azure,9.8,High
261,AWS,Java,Communication,Project Management,Python,Marketing,AWS,AWS,GCP,6.2,Medium
262,Project Management,Excel,Azure,TensorFlow,TensorFlow,PyTorch,Python,PyTorch,Marketing,3.6,High
263,Azure,Salesforce,R,Power BI,Communication,Project Management,Marketing,Azure,AWS,3.2,Very High
264,Python,Azure,SQL,TensorFlow,Communication,GCP,Marketing,AWS,GCP,6.1,Medium
265,SQL,Java,Salesforce,Project Management,Tableau,Power BI,Salesforce,TensorFlow,Excel,7.5,Low
266,Project Management,Adobe Photoshop,PyTorch,Python,Salesforce,Adobe Photoshop,Java,GCP,Excel,8.5,Low
267,TensorFlow,Marketing,Adobe Photoshop,Adobe Photoshop,TensorFlow,SQL,Salesforce,TensorFlow,Excel,6.0,Low
268,Tableau,Azure,R,C++,Adobe Photoshop,SQL,Salesforce,Project Management,Communication,1.4,Very High
269,GCP,Power BI,Excel,TensorFlow,Python,Java,TensorFlow,SQL,C++,7.1,Medium
270,Azure,Communication,Salesforce,Salesforce,Azure,Excel,Adobe Photoshop,Azure,Tableau,6.6,Low
271,Salesforce,Communication,TensorFlow,Tableau,Tableau,Power BI,Adobe Photoshop,Project Management,R,5.9,High
272,GCP,Azure,Project Management,SQL,R,Power BI,Tableau,GCP,Salesforce,4.7,Low
273,Azure,R,GCP,Adobe Photoshop,SQL,Java,GCP,Marketing,Adobe Photoshop,8.7,Very High
274,C++,C++,Marketing,GCP,Power BI,PyTorch,Tableau,Adobe Photoshop,GCP,7.8,High
275,C++,Java,AWS,Salesforce,Project Management,SQL,Project Management,Tableau,Power BI,9.4,Medium
276,Tableau,Marketing,Power BI,Marketing,Marketing,Adobe Photoshop,PyTorch,Adobe Photoshop,Power BI,3.4,Very High
277,Excel,GCP,GCP,SQL,Excel,Project Management,Power BI,Communication,Communication,7.6,High
278,Adobe Photoshop,Tableau,Salesforce,SQL,PyTorch,TensorFlow,R,Marketing,Adobe Photoshop,4.4,Low
279,Azure,Project Management,Java,PyTorch,Tableau,C++,Tableau,C++,Java,8.5,Very High
280,Power BI,Power BI,Project Management,C++,Tableau,TensorFlow,Power BI,Salesforce,Salesforce,8.6,High
281,AWS,C++,Java,Marketing,Azure,Communication,Java,Azure,TensorFlow,1.8,Very High
282,PyTorch,AWS,Marketing,Excel,TensorFlow,C++,Python,Java,PyTorch,9.6,Low
283,Tableau,Marketing,Project Management,Excel,TensorFlow,C++,Java,R,Communication,3.6,Medium
284,PyTorch,GCP,Tableau,Python,SQL,Tableau,Excel,Communication,Power BI,5.2,High
285,R,AWS,Adobe Photoshop,PyTorch,Power BI,SQL,R,R,C++,6.6,High
286,R,Excel,Tableau,C++,GCP,Salesforce,GCP,Tableau,Adobe Photoshop,3.4,Very High
287,GCP,GCP,Project Management,Azure,SQL,AWS,PyTorch,Python,Tableau,5.2,Low
288,SQL,R,GCP,SQL,GCP,Communication,Azure,SQL,GCP,4.1,Low
289,C++,Salesforce,R,SQL,Excel,Azure,PyTorch,C++,TensorFlow,1.0,High
290,GCP,Power BI,Java,Communication,Excel,Tableau,PyTorch,C++,R,7.7,Low
291,Communication,Communication,Adobe Photoshop,Salesforce,C++,Power BI,Java,PyTorch,TensorFlow,2.1,Medium
292,Marketing,Power BI,C++,Marketing,Python,Adobe Photoshop,Communication,C++,TensorFlow,6.7,High
293,Power BI,SQL,SQL,Salesforce,SQL,AWS,Power BI,Adobe Photoshop,Marketing,6.3,Medium
294,R,Adobe Photoshop,Communication,AWS,Java,C++,Marketing,Java,Salesforce,3.3,Low
295,AWS,Python,GCP,AWS,C++,AWS,Salesforce,PyTorch,Java,1.4,High
296,Project Management,TensorFlow,Salesforce,Power BI,Marketing,TensorFlow,Project Management,Azure,R,4.8,Medium
297,C++,Azure,C++,Tableau,GCP,SQL,Tableau,AWS,GCP,9.8,Low
298,Salesforce,SQL,Salesforce,Salesforce,R,AWS,Tableau,Python,PyTorch,8.6,Very High
299,TensorFlow,SQL,Tableau,Project Management,Adobe Photoshop,Project Management,PyTorch,Marketing,SQL,1.1,Medium
300,Excel,Excel,Azure,Excel,PyTorch,Project Management,Azure,Java,TensorFlow,5.6,Medium
301,AWS,R,Power BI,Communication,Project Management,Salesforce,Excel,R,Tableau,7.5,Low
302,Tableau,Salesforce,Salesforce,TensorFlow,Excel,Marketing,Java,Excel,AWS,8.9,Low
303,Project Management,Python,Power BI,Excel,TensorFlow,R,C++,GCP,SQL,8.2,Medium
304,Java,C++,Marketing,Azure,Communication,TensorFlow,PyTorch,GCP,GCP,8.0,Low
305,C++,Project Management,C++,Excel,Communication,Tableau,Marketing,Adobe Photoshop,SQL,2.6,Very High
306,R,Python,Project Management,Communication,Adobe Photoshop,GCP,Project Management,Excel,R,1.0,High
307,GCP,Azure,TensorFlow,Tableau,Project Management,C++,Excel,Power BI,Project Management,2.9,High
308,Python,Excel,R,AWS,Python,Power BI,Tableau,Marketing,TensorFlow,1.0,Medium
309,Azure,Python,PyTorch,Power BI,Excel,Excel,TensorFlow,Communication,Excel,4.0,Low
310,Azure,TensorFlow,Python,GCP,C++,Python,TensorFlow,GCP,PyTorch,1.9,High
311,Adobe Photoshop,Power BI,Communication,Marketing,Salesforce,Project Management,Marketing,Salesforce,Salesforce,8.9,Medium
312,Power BI,Power BI,Tableau,Power BI,Communication,Marketing,Power BI,Azure,Python,5.5,High
313,Salesforce,Marketing,SQL,Java,Communication,Azure,Adobe Photoshop,Python,GCP,5.8,Low
314,Java,Marketing,Project Management,Java,GCP,GCP,Azure,PyTorch,SQL,3.5,Medium
315,PyTorch,Java,Marketing,Adobe Photoshop,Excel,AWS,PyTorch,Communication,Python,6.2,High
316,Marketing,Tableau,PyTorch,GCP,Azure,Power BI,Java,GCP,TensorFlow,5.0,Low
317,Salesforce,Excel,Project Management,Salesforce,Project Management,Python,Excel,Excel,GCP,8.3,Medium
318,PyTorch,Python,Communication,AWS,SQL,Excel,Python,AWS,GCP,8.1,High
319,Azure,Power BI,Power BI,Excel,Power BI,TensorFlow,Java,SQL,Power BI,3.9,Very High
320,Adobe Photoshop,Project Management,Communication,Salesforce,TensorFlow,Java,Adobe Photoshop,Python,Power BI,4.8,Medium
321,Salesforce,Python,Python,PyTorch,Adobe Photoshop,Power BI,AWS,Azure,Project Management,1.7,Very High
322,Power BI,PyTorch,Project Management,Project Management,Salesforce,Adobe Photoshop,Java,SQL,Java,4.2,High
323,Tableau,Marketing,Tableau,Salesforce,AWS,Power BI,C++,PyTorch,PyTorch,4.6,Low
324,Java,C++,TensorFlow,Marketing,GCP,Power BI,GCP,Adobe Photoshop,Power BI,7.4,Low
325,Project Management,Adobe Photoshop,Java,Java,TensorFlow,Azure,Excel,PyTorch,Salesforce,6.3,High
326,SQL,Communication,Marketing,Salesforce,Marketing,C++,Python,C++,Java,9.1,High
327,Python,AWS,Adobe Photoshop,Marketing,Adobe Photoshop,Adobe Photoshop,GCP,C++,SQL,9.0,Very High
328,Python,SQL,Project Management,AWS,AWS,TensorFlow,TensorFlow,Java,Communication,4.5,Very High
329,C++,Java,AWS,C++,C++,Azure,Marketing,Communication,Power BI,5.4,High
330,Power BI,R,SQL,Marketing,C++,Python,GCP,Azure,Adobe Photoshop,4.2,Very High
331,PyTorch,Python,GCP,C++,Marketing,TensorFlow,AWS,GCP,C++,4.2,Medium
332,Project Management,SQL,Communication,Tableau,Marketing,Adobe Photoshop,Azure,GCP,Azure,2.1,Medium
333,R,Excel,Python,Python,Project Management,Salesforce,SQL,Azure,Communication,9.8,Low
334,PyTorch,Python,Excel,C++,Python,Azure,Python,Project Management,Python,2.8,Low
335,SQL,GCP,R,Power BI,C++,C++,Power BI,AWS,AWS,5.2,Low
336,R,Project Management,C++,Project Management,R,Project Management,AWS,Tableau,GCP,9.0,Low
337,Communication,R,TensorFlow,Java,Excel,Communication,Azure,Project Management,Python,4.5,High
338,Communication,Marketing,GCP,C++,AWS,Communication,Communication,Marketing,Marketing,1.3,Low
339,C++,Marketing,SQL,Excel,TensorFlow,Python,Project Management,GCP,Excel,6.9,Low
340,Java,Adobe Photoshop,Marketing,PyTorch,PyTorch,Salesforce,Marketing,Python,C++,1.8,Medium
341,Adobe Photoshop,TensorFlow,GCP,GCP,AWS,Salesforce,R,TensorFlow,GCP,2.6,Medium
342,Marketing,Excel,Communication,GCP,Java,Azure,TensorFlow,C++,Project Management,9.2,Medium
343,Python,TensorFlow,Marketing,Azure,PyTorch,Azure,Java,TensorFlow,Project Management,5.6,Low
344,GCP,Salesforce,Azure,Azure,Java,R,R,Project Management,Power BI,7.5,High
345,Excel,Project Management,TensorFlow,TensorFlow,Adobe Photoshop,Salesforce,Adobe Photoshop,Excel,Excel,4.7,High
346,Python,GCP,Salesforce,Project Management,Adobe Photoshop,Python,Tableau,C++,TensorFlow,8.0,Low
347,C++,Project Management,Communication,Power BI,Power BI,Marketing,Azure,Power BI,Python,7.3,Very High
348,AWS,GCP,PyTorch,Adobe Photoshop,AWS,GCP,Communication,GCP,TensorFlow,2.1,Very High
349,Power BI,TensorFlow,AWS,R,GCP,C++,Azure,Salesforce,Communication,7.2,Low
350,Excel,R,C++,GCP,AWS,Java,Tableau,AWS,TensorFlow,2.6,Low
351,Excel,TensorFlow,Azure,Python,Adobe Photoshop,SQL,Marketing,AWS,TensorFlow,2.6,Low
352,GCP,Project Management,Project Management,GCP,R,Power BI,Power BI,R,Excel,4.5,High
353,Adobe Photoshop,R,Azure,TensorFlow,C++,Excel,Java,Marketing,Tableau,6.0,Very High
354,TensorFlow,SQL,PyTorch,Azure,Python,Tableau,Power BI,Marketing,R,7.8,Low
355,TensorFlow,TensorFlow,R,Adobe Photoshop,Java,Azure,C++,PyTorch,Communication,1.6,Very High
356,TensorFlow,Excel,Salesforce,Marketing,Tableau,Communication,C++,Marketing,PyTorch,3.1,Medium
357,TensorFlow,Power BI,GCP,C++,Azure,Power BI,Power BI,Marketing,Java,9.8,High
358,Power BI,Adobe Photoshop,Azure,Power BI,Communication,Excel,AWS,Salesforce,Communication,2.4,Medium
359,Java,TensorFlow,PyTorch,GCP,Tableau,Salesforce,TensorFlow,Marketing,Tableau,7.2,High
360,GCP,Excel,Python,Excel,Java,PyTorch,C++,PyTorch,SQL,2.6,High
361,TensorFlow,Tableau,SQL,PyTorch,Project Management,Communication,Python,Excel,Python,4.8,High
362,TensorFlow,AWS,Python,Java,AWS,GCP,GCP,Tableau,Azure,3.0,Very High
363,GCP,R,PyTorch,Salesforce,Salesforce,AWS,PyTorch,Java,Excel,3.2,High
364,GCP,R,Python,Power BI,PyTorch,Python,Adobe Photoshop,Python,AWS,5.9,Low
365,Project Management,R,Tableau,AWS,Communication,Adobe Photoshop,AWS,Tableau,SQL,3.6,High
366,Project Management,Power BI,Project Management,Adobe Photoshop,Tableau,Communication,Java,Azure,SQL,2.8,Low
367,Excel,Azure,AWS,R,Adobe Photoshop,SQL,Python,Tableau,AWS,9.0,Very High
368,Tableau,Project Management,Project Management,PyTorch,Salesforce,Adobe Photoshop,Project Management,Power BI,Tableau,1.7,Low
369,Marketing,R,SQL,GCP,Excel,C++,Python,TensorFlow,SQL,2.5,Medium
370,Python,Python,Project Management,Marketing,Power BI,R,Salesforce,Java,SQL,6.0,Low
371,C++,R,Adobe Photoshop,Adobe Photoshop,Marketing,Java,C++,Excel,GCP,1.2,Low
372,R,Communication,PyTorch,C++,Python,Python,Project Management,R,SQL,8.0,Low
373,SQL,Azure,TensorFlow,Power BI,Excel,Azure,PyTorch,Tableau,GCP,4.3,Medium
374,TensorFlow,Python,SQL,Marketing,AWS,PyTorch,Communication,Power BI,Marketing,7.9,High
375,R,C++,Tableau,SQL,PyTorch,TensorFlow,Marketing,TensorFlow,Communication,9.9,Low
376,GCP,PyTorch,Communication,SQL,R,Java,Java,GCP,PyTorch,3.4,Low
377,SQL,TensorFlow,Java,R,C++,Salesforce,Communication,Tableau,AWS,3.0,Medium
378,TensorFlow,C++,PyTorch,Java,Communication,Marketing,Marketing,Communication,R,4.6,Low
379,Marketing,Power BI,Excel,SQL,Azure,C++,Excel,Power BI,Tableau,3.8,Low
380,Adobe Photoshop,Marketing,Adobe Photoshop,SQL,C++,Power BI,PyTorch,Java,R,3.2,Very High
381,PyTorch,Java,PyTorch,Java,Communication,Marketing,PyTorch,Azure,Tableau,7.7,Very High
382,Project Management,Azure,GCP,Tableau,Tableau,Project Management,Project Management,Python,Python,7.6,Medium
383,AWS,Java,TensorFlow,Marketing,Tableau,C++,Power BI,Power BI,C++,8.4,Medium
384,AWS,Excel,C++,Communication,Azure,R,PyTorch,GCP,Azure,7.7,Very High
385,Excel,Salesforce,AWS,Python,C++,Excel,Adobe Photoshop,Azure,Excel,7.8,Medium
386,Salesforce,Java,Python,Marketing,Java,Project Management,Excel,R,Marketing,2.1,Medium
387,Tableau,R,C++,Tableau,Project Management,Java,R,TensorFlow,GCP,8.8,Low
388,Python,Marketing,Tableau,Python,Excel,Adobe Photoshop,PyTorch,Power BI,AWS,7.7,Low
389,TensorFlow,Tableau,Project Management,Tableau,Excel,Python,Power BI,SQL,Power BI,6.5,Low
390,SQL,AWS,Python,Project Management,AWS,Java,Adobe Photoshop,PyTorch,Azure,5.1,Very High
391,Marketing,PyTorch,C++,Tableau,PyTorch,C++,Project Management,Python,R,1.3,Low
392,Java,Marketing,Python,Communication,Java,Power BI,TensorFlow,C++,Azure,7.7,High
393,Marketing,C++,Python,SQL,Excel,C++,TensorFlow,Adobe Photoshop,Communication,6.2,Low
394,C++,R,Marketing,Azure,Adobe Photoshop,Adobe Photoshop,Tableau,R,Marketing,8.3,Very High
395,Azure,SQL,Azure,SQL,TensorFlow,Power BI,R,AWS,Project Management,6.9,Low
396,SQL,SQL,C++,R,Salesforce,PyTorch,Azure,R,Python,8.5,High
397,GCP,SQL,TensorFlow,Java,Azure,R,Azure,AWS,Tableau,6.6,High
398,Java,Java,C++,Java,Tableau,PyTorch,Marketing,Azure,PyTorch,8.3,Very High
399,Java,Java,C++,SQL,SQL,GCP,GCP,Project Management,GCP,4.4,Very High
400,R,GCP,Python,Power BI,Communication,Tableau,R,C++,SQL,2.7,Low
401,GCP,PyTorch,TensorFlow,Excel,Adobe Photoshop,Azure,SQL,Salesforce,Adobe Photoshop,9.4,High
402,Salesforce,Salesforce,Salesforce,R,Python,Excel,Tableau,PyTorch,PyTorch,2.3,Medium
403,Java,Communication,SQL,Salesforce,Azure,Adobe Photoshop,TensorFlow,Tableau,Python,5.5,High
404,TensorFlow,GCP,R,PyTorch,Tableau,Salesforce,Excel,Azure,Azure,9.3,High
405,GCP,Tableau,Salesforce,Java,Adobe Photoshop,Salesforce,GCP,Marketing,AWS,7.5,Low
406,Project Management,PyTorch,PyTorch,Marketing,Adobe Photoshop,GCP,Python,Java,Salesforce,2.0,Medium
407,C++,Communication,C++,PyTorch,C++,SQL,Python,Marketing,Project Management,2.2,Medium
408,Tableau,Salesforce,Power BI,Python,Java,Communication,SQL,TensorFlow,Communication,5.9,Very High
409,R,PyTorch,Communication,PyTorch,Excel,TensorFlow,Marketing,C++,Excel,1.7,Low
410,Adobe Photoshop,Project Management,Project Management,Communication,R,Azure,Excel,Marketing,Salesforce,8.9,Low
411,Communication,Tableau,R,PyTorch,Java,Communication,Communication,C++,Excel,9.9,Very High
412,Power BI,Salesforce,SQL,SQL,AWS,AWS,GCP,TensorFlow,R,5.5,Low
413,R,AWS,Communication,Salesforce,Azure,Communication,GCP,Project Management,TensorFlow,6.3,Medium
414,Salesforce,Azure,C++,Project Management,Communication,Tableau,Marketing,Azure,TensorFlow,6.6,Low
415,Adobe Photoshop,Marketing,C++,Tableau,Salesforce,Java,Salesforce,Azure,TensorFlow,6.3,Low
416,Java,R,R,R,GCP,Project Management,TensorFlow,Tableau,SQL,7.5,Medium
417,C++,Salesforce,Power BI,Excel,Adobe Photoshop,AWS,Python,Excel,GCP,5.8,High
418,Java,Project Management,Power BI,GCP,AWS,Adobe Photoshop,Python,TensorFlow,AWS,6.5,High
419,AWS,Tableau,Adobe Photoshop,Project Management,Communication,PyTorch,Power BI,R,Communication,7.8,Medium
420,TensorFlow,PyTorch,SQL,Tableau,Adobe Photoshop,Marketing,Tableau,Salesforce,Adobe Photoshop,7.7,Very High
421,Excel,Power BI,PyTorch,Azure,R,Excel,SQL,PyTorch,Communication,3.0,Very High
422,Python,Marketing,Communication,Marketing,Power BI,PyTorch,SQL,SQL,Azure,4.4,Low
423,Python,Python,GCP,Azure,Salesforce,Excel,SQL,Tableau,R,4.6,Medium
424,Project Management,Tableau,Project Management,Marketing,TensorFlow,Java,Azure,C++,Power BI,1.3,Very High
425,GCP,Azure,Adobe Photoshop,Excel,Excel,Azure,Tableau,Azure,C++,2.6,High
426,Excel,Azure,Tableau,Tableau,PyTorch,Salesforce,PyTorch,Marketing,C++,6.2,Low
427,Project Management,SQL,Adobe Photoshop,Excel,Marketing,Project Management,GCP,Excel,Java,1.8,Low
428,PyTorch,Power BI,PyTorch,Python,Salesforce,AWS,C++,Java,AWS,7.2,Very High
429,C++,SQL,Salesforce,PyTorch,Project Management,Communication,Java,Azure,Tableau,2.4,High
430,PyTorch,PyTorch,Java,Project Management,SQL,Tableau,Tableau,SQL,TensorFlow,8.7,High
431,R,AWS,AWS,C++,AWS,Marketing,C++,Excel,Adobe Photoshop,4.9,Low
432,AWS,R,Marketing,Tableau,C++,C++,Python,GCP,Marketing,2.4,Low
433,PyTorch,R,TensorFlow,Power BI,Adobe Photoshop,PyTorch,TensorFlow,Java,TensorFlow,5.3,High
434,Adobe Photoshop,C++,Excel,Python,PyTorch,Adobe Photoshop,C++,Tableau,Python,2.9,Low
435,Project Management,Communication,SQL,Marketing,Azure,Java,Marketing,C++,Adobe Photoshop,4.7,Medium
436,Tableau,Python,Adobe Photoshop,AWS,Azure,Azure,Adobe Photoshop,Tableau,Excel,1.7,Very High
437,Python,Azure,Tableau,R,Communication,Excel,Communication,Power BI,Python,6.7,High
438,AWS,Project Management,Azure,TensorFlow,Salesforce,Project Management,Java,Python,Adobe Photoshop,2.4,Low
439,PyTorch,GCP,Tableau,R,Adobe Photoshop,Communication,Marketing,C++,AWS,4.2,Low
440,Communication,GCP,Tableau,Java,Adobe Photoshop,Project Management,Python,Project Management,Communication,1.2,Medium
441,Java,Python,Power BI,GCP,Power BI,R,C++,Java,Salesforce,3.8,Low
442,TensorFlow,SQL,PyTorch,SQL,Salesforce,Tableau,Java,TensorFlow,TensorFlow,1.1,Low
443,Python,R,R,Adobe Photoshop,Project Management,Communication,R,R,Tableau,7.4,Low
444,Power BI,Tableau,Tableau,Marketing,Project Management,Power BI,Java,Python,Adobe Photoshop,6.0,Very High
445,Marketing,Tableau,Java,C++,Adobe Photoshop,C++,Power BI,Python,GCP,2.4,Very High
446,C++,PyTorch,Azure,Power BI,Salesforce,Project Management,TensorFlow,Adobe Photoshop,Python,1.2,Very High
447,AWS,Power BI,Salesforce,TensorFlow,Project Management,Project Management,Salesforce,Python,Project Management,7.2,Very High
448,Adobe Photoshop,Power BI,Salesforce,C++,C++,R,TensorFlow,AWS,SQL,9.2,High
449,Communication,TensorFlow,R,Java,PyTorch,Power BI,Power BI,Excel,Adobe Photoshop,5.8,Medium
450,Communication,Power BI,AWS,PyTorch,PyTorch,Power BI,Adobe Photoshop,Java,C++,1.5,High
451,TensorFlow,Salesforce,SQL,Azure,Marketing,Excel,PyTorch,Salesforce,GCP,8.1,Low
452,Salesforce,Communication,Power BI,Marketing,Salesforce,C++,Project Management,AWS,Marketing,5.4,Very High
453,Marketing,Tableau,Power BI,Adobe Photoshop,Tableau,Marketing,Power BI,GCP,SQL,8.3,Very High
454,Excel,Python,GCP,Tableau,Marketing,Communication,Adobe Photoshop,Power BI,Tableau,8.6,Medium
455,PyTorch,AWS,Python,Marketing,Salesforce,PyTorch,TensorFlow,GCP,R,2.2,Very High
456,Azure,Adobe Photoshop,AWS,Power BI,R,Project Management,R,Python,Python,4.8,Low
457,C++,Tableau,GCP,Adobe Photoshop,Python,AWS,GCP,Tableau,Marketing,1.9,Low
458,Project Management,AWS,Java,SQL,R,PyTorch,Adobe Photoshop,Marketing,Communication,8.2,Very High
459,R,TensorFlow,Power BI,Salesforce,Marketing,C++,Azure,Communication,C++,3.2,Very High
460,C++,C++,SQL,Communication,Project Management,TensorFlow,Java,Tableau,AWS,7.1,Low
461,Python,Azure,AWS,Java,Excel,PyTorch,AWS,Marketing,Adobe Photoshop,7.1,Low
462,R,Salesforce,Tableau,Excel,Communication,Salesforce,Adobe Photoshop,Azure,C++,8.0,Very High
463,Adobe Photoshop,Project Management,Adobe Photoshop,Project Management,Python,Project Management,Communication,TensorFlow,Project Management,1.5,Medium
464,GCP,Project Management,SQL,Python,TensorFlow,TensorFlow,Tableau,Adobe Photoshop,Power BI,6.9,Low
465,Excel,PyTorch,Project Management,SQL,Power BI,Adobe Photoshop,AWS,Power BI,C++,7.3,Medium
466,Communication,Power BI,R,PyTorch,Project Management,SQL,Adobe Photoshop,GCP,Salesforce,4.3,Very High
467,Communication,GCP,Excel,Communication,TensorFlow,PyTorch,Adobe Photoshop,C++,TensorFlow,5.7,Medium
468,Java,TensorFlow,R,GCP,AWS,PyTorch,TensorFlow,Adobe Photoshop,C++,5.7,High
469,PyTorch,TensorFlow,PyTorch,SQL,Tableau,PyTorch,C++,R,Excel,7.0,Very High
470,R,AWS,Tableau,Marketing,Excel,Excel,C++,Excel,Tableau,1.0,High
471,Python,Communication,Power BI,Salesforce,Java,Salesforce,Power BI,AWS,Python,7.3,Low
472,Excel,C++,R,PyTorch,Azure,Java,Marketing,Power BI,Java,2.8,High
473,C++,GCP,Excel,TensorFlow,Marketing,Excel,TensorFlow,Communication,R,9.0,Very High
474,AWS,Azure,PyTorch,Tableau,Excel,SQL,Tableau,Excel,R,5.3,Low
475,AWS,GCP,Excel,SQL,Azure,R,Power BI,PyTorch,AWS,2.3,Low
476,Project Management,Salesforce,Java,Project Management,Adobe Photoshop,Python,Tableau,Python,Python,9.5,Low
477,C++,Communication,Salesforce,Communication,AWS,TensorFlow,SQL,TensorFlow,TensorFlow,3.9,Very High
478,R,Power BI,Project Management,Azure,AWS,Project Management,TensorFlow,SQL,C++,1.9,Very High
479,Azure,GCP,TensorFlow,Excel,Azure,Azure,Java,PyTorch,Salesforce,3.2,High
480,Adobe Photoshop,SQL,AWS,TensorFlow,TensorFlow,AWS,Power BI,SQL,Adobe Photoshop,6.8,Very High
481,R,Azure,Azure,Adobe Photoshop,Azure,TensorFlow,Project Management,Tableau,AWS,8.2,Medium
482,R,AWS,Excel,PyTorch,Python,Excel,Salesforce,Azure,AWS,5.1,Very High
483,Python,Java,Project Management,Java,R,Tableau,C++,PyTorch,Marketing,6.0,Very High
484,Python,AWS,Salesforce,Tableau,Salesforce,R,Communication,Python,R,7.8,Very High
485,C++,TensorFlow,Communication,R,TensorFlow,Marketing,Marketing,Adobe Photoshop,Power BI,4.7,High
486,Java,SQL,Adobe Photoshop,TensorFlow,Python,Azure,GCP,Tableau,Marketing,5.4,Low
487,C++,R,Tableau,Project Management,TensorFlow,TensorFlow,Project Management,Communication,Adobe Photoshop,9.4,Low
488,Communication,C++,Python,GCP,Power BI,R,Marketing,Adobe Photoshop,R,3.0,High
489,SQL,Communication,Java,C++,Python,AWS,SQL,Marketing,Salesforce,3.1,High
490,Excel,Adobe Photoshop,Azure,AWS,AWS,Project Management,Python,PyTorch,Adobe Photoshop,8.9,Medium
491,Power BI,Project Management,AWS,TensorFlow,R,Python,Python,Adobe Photoshop,PyTorch,4.5,Very High
492,TensorFlow,Power BI,Power BI,Python,Communication,Power BI,AWS,TensorFlow,Python,1.2,Very High
493,R,TensorFlow,Java,Salesforce,Excel,GCP,TensorFlow,PyTorch,Project Management,6.0,Low
494,Marketing,Communication,Project Management,R,AWS,PyTorch,Excel,Python,AWS,2.0,High
495,Salesforce,Marketing,Power BI,Project Management,Python,Python,Tableau,TensorFlow,PyTorch,1.3,High
496,SQL,Salesforce,C++,GCP,R,AWS,PyTorch,PyTorch,GCP,2.0,High
497,Salesforce,Marketing,Adobe Photoshop,AWS,Tableau,Adobe Photoshop,Adobe Photoshop,GCP,Excel,1.3,Very High
498,Tableau,AWS,Python,PyTorch,R,Project Management,C++,Communication,Excel,8.3,Very High
499,Excel,Salesforce,R,Azure,Python,Project Management,Java,TensorFlow,Marketing,1.9,High
500,GCP,Python,Power BI,PyTorch,R,PyTorch,Excel,C++,PyTorch,4.9,Medium
